"id","url","notes","scientific_name","common_name","description","user_login","observed_on","license","family_name","adm0_a3","continent"
191680325,"https://www.inaturalist.org/observations/191680325","","Lasiurus borealis","Eastern Red Bat","Found on the ground beneath a bench.  There were window washer crews that had ascended both the adjacent tower and another building as well that may have spooked it out.  It was only a few degrees below freezing and the bat was not seen on previous searches of the area.","sirrubra","45251","CC-BY-NC","Vespertilionidae","USA","North America"
192927992,"https://www.inaturalist.org/observations/192927992","","Eptesicus fuscus","Big Brown Bat","i think? really small. safely contained, taken to licensed rehabber","cmcrae","45263","CC-BY-NC","Vespertilionidae","USA","North America"
196312737,"https://www.inaturalist.org/observations/196312737","","Lasiurus cinereus","Hoary Bat","Se observó volando cuando aún había sol y se estrelló contra una ventana. Intentó sostenerse de ésta pero no le fue posible y se cayó al suelo.
Se resguardó el individuo y en la noche que se intentó liberar se le encontró muerto.","paula_gabriela","2024-01-04","CC-BY-NC","Vespertilionidae","MEX","North America"
196563502,"https://www.inaturalist.org/observations/196563502","","Eptesicus fuscus","Big Brown Bat","Deceased, completely frozen. Could have been a window strike as the building it was found under having lots of large windows, alternatively could have been sheltering under building and got caught in cold snap. Some snow on body when found, but body was under an awning.","axolotl_42","45304","CC-BY","Vespertilionidae","USA","North America"
197748594,"https://www.inaturalist.org/observations/197748594","","Vespertilioninae","Vesper Bats","Dead bat found on the sidewalk next to the windows of a retail shop. Thought it was a dead leaf at first. Seems like it's been there for a while based on the dessication. 



Small, ~7 cm or so nose to tail.","nick_nv04","45318","CC-BY-NC","Vespertilionidae","USA","North America"
205767595,"https://www.inaturalist.org/observations/205767595","","Vespertilioninae","Vesper Bats","Window collision?
North side of Beering","lydpul","45388","CC-BY-NC","Vespertilionidae","USA","North America"
208360025,"https://www.inaturalist.org/observations/208360025","","Lasionycteris noctivagans","Silver-haired Bat","Found as window collision brought to rehabber","adamiano531","45222","CC-BY-NC","Vespertilionidae","USA","North America"
210916602,"https://www.inaturalist.org/observations/210916602","","Eptesicus","House Bats","Alguien puede identificarlo? No le quería tomar muchas fotos para no estresarlo, se había dado duro contra una ventana pero luego se recuperó bien","darancibia","2024-04-22","CC-BY-NC","Vespertilionidae","COL","South America"
211450011,"https://www.inaturalist.org/observations/211450011","","Lasiurus borealis","Eastern Red Bat","Hopkins plaza","wendyinmd","45411","CC-BY-NC","Vespertilionidae","USA","North America"
214437251,"https://www.inaturalist.org/observations/214437251","","Lasiurus borealis","Eastern Red Bat","","lisa777666","45411","CC-BY-NC","Vespertilionidae","USA","North America"
